,Sales,Order Month,Order Year
7163,247.84,April,2015
3405,281.372,April,2015
3406,281.372,April,2015
3407,7.488,April,2015
3408,22.336,April,2015
1448,2.502,April,2015
9289,48.91,April,2015
2713,302.376,April,2015
4376,270.72,April,2015
1748,10.368,April,2015
4375,303.25,April,2015
4377,1487.04,April,2015
1749,6.24,April,2015
2615,18.288,April,2015
7196,21.4,April,2015
7197,12.6,April,2015
2614,230.28,April,2015
3608,6.912,April,2015
3609,27.096,April,2015
3610,177.568,April,2015
1773,20.86,April,2015
8451,1679.96,April,2015
8920,159.98,April,2015
1775,5.34,April,2015
1774,497.61,April,2015
1776,3.15,April,2015
6375,99.92,April,2015
2891,17.94,April,2015
6374,561.584,April,2015
2890,51.96,April,2015
8266,19.98,April,2015
884,17.46,April,2015
5004,47.79,April,2015
8635,174.95,April,2015
8636,826.0,April,2015
1759,19.536,May,2015
8497,479.97,May,2015
8498,18.62,May,2015
8496,59.52,May,2015
8499,49.632,May,2015
8500,97.82,May,2015
3278,12.96,May,2015
9508,13.89,May,2015
3280,4164.05,May,2015
3879,52.096,May,2015
3878,49.632,May,2015
3279,22.96,May,2015
710,55.48,May,2015
3276,22.96,May,2015
9509,689.82,May,2015
9507,40.2,May,2015
3277,28.99,May,2015
9506,26.7,May,2015
4559,127.869,May,2015
4212,6.56,May,2015
8596,35.44,May,2015
4213,24.56,May,2015
4655,45.248,May,2015
4211,9.42,May,2015
8595,11.88,May,2015
687,19.44,May,2015
685,479.97,May,2015
1355,220.776,May,2015
5436,19.52,May,2015
1356,281.424,May,2015
5438,213.216,May,2015
686,14.62,May,2015
3884,4.368,May,2015
3790,180.96,May,2015
5437,9.81,May,2015
171,20.94,May,2015
173,340.144,May,2015
5866,1133.35,May,2015
5865,4.56,May,2015
6456,135.99,May,2015
172,110.96,May,2015
5864,79.47,May,2015
6457,15.96,May,2015
8893,489.23,May,2015
5357,16.36,May,2015
5358,15.78,May,2015
5359,45.98,May,2015
5429,31.984,May,2015
2515,264.32,May,2015
6804,99.98,May,2015
6019,91.92,May,2015
9714,58.416,May,2015
9711,13.194,May,2015
6683,20.04,May,2015
9712,1080.096,May,2015
9710,273.568,May,2015
9786,149.9,May,2015
9713,51.56,May,2015
8682,47.79,May,2015
7569,49.12,May,2015
5377,348.488,May,2015
7714,250.26,May,2015
920,24.56,May,2015
7568,26.46,May,2015
67,1113.024,May,2015
68,167.968,May,2015
5378,172.736,May,2015
180,24.816,May,2015
5575,179.94,May,2015
5574,36.738,May,2015
5573,17.472,May,2015
5571,98.376,May,2015
7570,15.0,May,2015
5572,29.94,May,2015
181,408.744,May,2015
1887,398.352,May,2015
1886,7.104,May,2015
5355,8.0,May,2015
3216,149.97,May,2015
5354,279.456,May,2015
17,55.5,May,2015
768,310.88,May,2015
7824,232.88,May,2015
8535,56.4,May,2015
3005,91.68,May,2015
3200,149.232,May,2015
1829,779.796,May,2015
3201,15.936,May,2015
4142,57.42,May,2015
9602,34.2,May,2015
2129,33.28,May,2015
8583,66.96,May,2015
2131,139.86,May,2015
8582,20.784,May,2015
2130,38.52,May,2015
8581,10.368,May,2015
8580,10.332,May,2015
5878,245.88,May,2015
3078,31.84,May,2015
9791,56.064,May,2015
994,2715.93,May,2015
9792,107.772,May,2015
9793,4.832,May,2015
9794,18.24,May,2015
5877,17.94,May,2015
995,617.97,May,2015
5876,447.86,May,2015
3268,44.95,May,2015
3267,135.98,May,2015
7010,17.96,May,2015
7011,5.04,May,2015
6627,12.96,May,2015
607,3.282,May,2015
608,21.168,May,2015
609,55.188,May,2015
7012,208.16,May,2015
2703,116.28,May,2015
1818,75.6,May,2015
1819,29.32,May,2015
9440,14.62,May,2015
1610,290.666,May,2015
1611,201.584,May,2015
2760,48.4,May,2015
1612,83.984,May,2015
6740,359.772,May,2015
6739,102.624,May,2015
2751,225.296,May,2015
6741,13.392,May,2015
1048,1113.504,May,2015
747,359.32,May,2015
746,567.12,May,2015
1049,99.99,May,2015
1325,17.46,May,2015
5675,57.408,May,2015
5676,27.6,May,2015
8438,136.96,May,2015
7858,235.95,May,2015
7736,70.368,May,2015
5750,355.455,May,2015
7857,464.0,May,2015
7856,25.584,May,2015
4646,13.62,May,2015
7859,39.96,May,2015
8552,719.976,May,2015
7977,659.97,May,2015
7978,113.73,May,2015
5327,19.44,June,2015
7480,6.54,June,2015
7180,12.78,June,2015
7479,31.12,June,2015
7478,755.96,June,2015
7477,391.98,June,2015
7476,5.48,June,2015
7475,609.98,June,2015
7474,2573.82,June,2015
1997,15.0,June,2015
1999,144.95,June,2015
8980,8.952,June,2015
1998,161.61,June,2015
6016,33.11,June,2015
5035,653.55,June,2015
6018,55.48,June,2015
5036,33.9,June,2015
6017,19.44,June,2015
6015,91.96,June,2015
1405,154.764,June,2015
8838,70.95,June,2015
8839,65.568,June,2015
8840,299.97,June,2015
1406,116.784,June,2015
868,44.91,June,2015
1404,10.304,June,2015
4410,107.94,June,2015
4409,5.78,June,2015
1334,140.736,June,2015
2139,149.544,June,2015
2141,991.764,June,2015
6301,13.984,June,2015
6472,100.24,June,2015
1745,13.36,June,2015
6597,1.365,June,2015
6598,62.016,June,2015
6300,24.588,June,2015
2140,17.14,June,2015
6845,478.48,June,2015
1549,559.992,June,2015
3772,62.91,June,2015
8543,199.98,June,2015
6622,41.88,June,2015
6623,58.48,June,2015
6355,83.92,June,2015
5417,15.36,June,2015
481,9.09,June,2015
8829,386.34,June,2015
5098,35.168,June,2015
5097,4.6,June,2015
5096,10.776,June,2015
7760,42.208,June,2015
5095,35.04,June,2015
5094,214.95,June,2015
5093,14.016,June,2015
2719,23.976,June,2015
7065,1261.33,June,2015
2984,275.49,June,2015
2983,53.424,June,2015
1855,14.52,June,2015
5220,212.94,June,2015
917,8.568,June,2015
6937,36.544,June,2015
916,797.944,June,2015
915,99.918,June,2015
2913,39.552,June,2015
2495,647.84,June,2015
2912,35.0,June,2015
2911,41.4,June,2015
6816,17.9,June,2015
6815,6.24,June,2015
6323,65.97,June,2015
6817,3266.376,June,2015
9764,139.8,June,2015
8146,3.52,June,2015
3508,15.552,June,2015
3505,201.584,June,2015
3511,509.488,June,2015
3509,11.648,June,2015
3510,418.8,June,2015
3507,193.0656,June,2015
3506,3.392,June,2015
8145,471.9,June,2015
2999,206.991,June,2015
3000,44.416,June,2015
2998,95.968,June,2015
2997,3.984,June,2015
2996,24.896,June,2015
1181,3.76,June,2015
1835,21.4,June,2015
2677,11.088,June,2015
4413,59.7,June,2015
1180,1322.93,June,2015
691,36.84,June,2015
2678,25.164,June,2015
690,284.82,June,2015
689,104.01,June,2015
4411,19.65,June,2015
4412,617.97,June,2015
3001,9.006,June,2015
5149,1214.85,June,2015
4022,853.93,June,2015
2157,161.94,June,2015
4020,170.058,June,2015
9000,8.226,June,2015
2156,501.81,June,2015
421,196.752,June,2015
4021,82.782,June,2015
4063,20.016,June,2015
2126,86.376,June,2015
4064,3.104,June,2015
9401,4.272,June,2015
4848,9.328,June,2015
1097,447.84,June,2015
4847,71.632,June,2015
4846,263.96,June,2015
2278,223.96,June,2015
2277,85.98,June,2015
2276,306.2,June,2015
821,335.52,June,2015
2923,6.08,June,2015
820,31.086,June,2015
819,1228.465,June,2015
818,3.168,June,2015
817,41.472,June,2015
5735,13.92,June,2015
776,32.76,June,2015
5152,2.688,June,2015
5153,6.6,June,2015
3147,32.4,June,2015
8396,310.688,June,2015
2689,5.248,June,2015
4502,21.312,June,2015
4501,25.92,June,2015
1413,334.768,June,2015
7661,10.43,July,2015
7660,76.728,July,2015
8735,64.96,July,2015
849,115.36,July,2015
9640,20.65,July,2015
9641,204.9,July,2015
9642,436.704,July,2015
9643,481.568,July,2015
4962,17.94,July,2015
4963,242.94,July,2015
4961,48.712,July,2015
5253,107.648,July,2015
4176,629.95,July,2015
6252,58.32,July,2015
3481,8.96,July,2015
4177,122.97,July,2015
6253,200.97,July,2015
6563,194.25,July,2015
6565,872.32,July,2015
6564,8.64,July,2015
6562,16.14,July,2015
4721,268.935,July,2015
393,12.462,July,2015
4397,172.186,July,2015
4398,69.008,July,2015
8366,27.36,July,2015
8367,20.56,July,2015
9480,304.99,July,2015
2646,42.81,July,2015
9479,3.828,July,2015
8368,83.92,July,2015
2717,377.97,July,2015
2649,104.85,July,2015
9478,13.16,July,2015
2647,12.96,July,2015
5978,429.9,July,2015
5981,19.86,July,2015
2645,57.69,July,2015
5261,2.92,July,2015
5262,200.795,July,2015
1678,64.784,July,2015
5260,196.776,July,2015
5263,46.688,July,2015
5979,32.06,July,2015
1679,32.382,July,2015
5980,161.96,July,2015
1680,42.368,July,2015
1681,399.54,July,2015
2648,821.88,July,2015
5264,21.864,July,2015
723,129.92,July,2015
3826,107.44,July,2015
4780,683.144,July,2015
3185,26.046,July,2015
4728,123.144,July,2015
3186,74.352,July,2015
4830,245.88,July,2015
6980,5.92,July,2015
4781,1.476,July,2015
4833,12.39,July,2015
4782,40.712,July,2015
4832,22.58,July,2015
4831,36.63,July,2015
6981,30.18,July,2015
8090,269.36,July,2015
8944,164.88,July,2015
7236,8.64,July,2015
5278,105.52,July,2015
4551,351.216,July,2015
7623,39.48,July,2015
8052,17.94,July,2015
2207,38.272,July,2015
6931,13.494,July,2015
6932,23.988,July,2015
6933,31.984,July,2015
6934,41.584,July,2015
2995,55.92,July,2015
2206,29.932,July,2015
3270,6.54,July,2015
3269,2.97,July,2015
2102,259.136,July,2015
9029,13.904,July,2015
3353,359.98,July,2015
3354,70.56,July,2015
3355,20.88,July,2015
3356,3.81,July,2015
5588,6.096,July,2015
7229,22.83,July,2015
4395,27.36,July,2015
8129,41.94,July,2015
3076,16.74,July,2015
4394,25.984,July,2015
7228,89.712,July,2015
3077,981.372,July,2015
5970,19.92,July,2015
8131,13.12,July,2015
8130,11.96,July,2015
8132,535.41,July,2015
5968,104.85,July,2015
5969,8.704,July,2015
5971,43.02,July,2015
3075,342.864,July,2015
8021,4.992,July,2015
1872,272.848,July,2015
8023,657.93,July,2015
1871,801.568,July,2015
1870,99.2,July,2015
8022,87.92,July,2015
8024,1.044,July,2015
8480,35.98,July,2015
9483,19.68,July,2015
7169,170.352,July,2015
7168,236.5,July,2015
483,159.98,July,2015
482,5.96,July,2015
7167,717.72,July,2015
7166,11.52,July,2015
9674,26.632,July,2015
373,1023.936,July,2015
9421,604.752,July,2015
9424,45.0,July,2015
9422,40.7,July,2015
375,479.04,July,2015
372,8.16,July,2015
7410,99.98,July,2015
374,9.24,July,2015
9423,302.376,July,2015
2506,77.92,July,2015
2504,53.72,July,2015
3646,6.48,July,2015
3647,15.52,July,2015
2505,8187.65,July,2015
9779,4.836,July,2015
3840,170.97,July,2015
3839,134.01,July,2015
3838,674.352,July,2015
3837,911.984,July,2015
7341,162.89,July,2015
7342,25.71,July,2015
9778,8.88,July,2015
9777,431.136,July,2015
6422,111.93,July,2015
7340,67.88,July,2015
2343,123.552,July,2015
9776,16.784,July,2015
9775,17.496,July,2015
9774,2177.584,July,2015
3865,238.0,July,2015
8887,276.28,July,2015
4579,65.78,July,2015
5687,129.888,July,2015
5688,48.944,July,2015
5686,14.32,July,2015
5161,1367.84,July,2015
9266,14.56,August,2015
7409,172.11,August,2015
7046,99.592,August,2015
7047,399.96,August,2015
6380,49.792,August,2015
3835,2.368,August,2015
5926,1215.92,August,2015
3836,19.008,August,2015
8799,1799.97,August,2015
2749,585.552,August,2015
9367,1676.88,August,2015
9366,68.48,August,2015
3841,170.352,August,2015
4779,63.882,August,2015
6287,502.488,August,2015
6288,196.704,August,2015
8954,155.456,August,2015
5072,299.98,August,2015
5068,549.99,August,2015
1465,121.376,August,2015
1466,95.976,August,2015
5070,38.34,August,2015
5071,53.88,August,2015
597,327.76,August,2015
596,445.96,August,2015
595,1199.976,August,2015
594,76.12,August,2015
5069,167.535,August,2015
2750,423.28,August,2015
4852,485.88,August,2015
4850,975.92,August,2015
4849,5.88,August,2015
5289,17.904,August,2015
4851,303.84,August,2015
169,177.98,August,2015
170,143.976,August,2015
1278,32.97,August,2015
5290,966.7,August,2015
168,32.064,August,2015
165,8159.952,August,2015
166,275.928,August,2015
9449,8.608,August,2015
1279,83.88,August,2015
4313,16.78,August,2015
8707,3.52,August,2015
167,1740.06,August,2015
738,49.98,August,2015
8706,172.764,August,2015
164,9.936,August,2015
5291,182.112,August,2015
3451,4.02,August,2015
3450,14.97,August,2015
3449,56.65,August,2015
4134,209.97,August,2015
836,51.184,August,2015
4133,45.0,August,2015
7676,23.472,August,2015
8852,123.92,August,2015
5765,333.576,August,2015
3714,45.68,August,2015
3665,6.456,August,2015
3715,603.92,August,2015
3664,27.888,August,2015
9212,39.88,August,2015
1793,60.416,August,2015
3666,52.68,August,2015
9213,79.44,August,2015
3668,103.92,August,2015
3669,11.52,August,2015
3670,10.368,August,2015
3671,39.072,August,2015
3667,13.88,August,2015
8995,152.24,August,2015
8994,91.36,August,2015
6792,62.94,August,2015
3294,30.96,August,2015
1689,853.092,August,2015
2532,12.67,August,2015
2530,114.2,August,2015
2044,15.552,August,2015
2533,339.96,August,2015
2531,17.96,August,2015
4088,638.82,August,2015
2377,9.184,August,2015
2339,10.72,August,2015
7002,289.24,August,2015
8245,344.91,August,2015
7003,69.456,August,2015
2376,76.776,August,2015
9733,20.12,August,2015
5799,421.372,August,2015
9732,500.24,August,2015
9734,896.99,August,2015
8940,7.632,August,2015
4302,3.912,August,2015
9365,11.56,August,2015
6671,49.568,August,2015
2338,45.92,August,2015
7019,15.552,August,2015
7023,31.104,August,2015
2337,25.92,August,2015
7020,6.8,August,2015
7022,143.64,August,2015
8694,19.44,August,2015
7024,223.056,August,2015
7021,4.224,August,2015
3027,8.288,August,2015
5912,25.5,August,2015
3132,13.28,August,2015
3133,12.672,August,2015
5945,25.92,August,2015
5944,95.1,August,2015
5943,6.28,August,2015
8459,12.384,August,2015
114,4.72,August,2015
115,23.976,August,2015
116,130.464,August,2015
6578,1007.944,August,2015
113,40.096,August,2015
8886,20.856,August,2015
8884,6.528,August,2015
8885,2.862,August,2015
8458,25.68,August,2015
5946,48.84,August,2015
5334,17.34,August,2015
7822,8.64,August,2015
5333,10.68,August,2015
186,176.8,August,2015
7823,149.97,August,2015
5335,3.38,August,2015
6169,13.36,August,2015
18,8.56,August,2015
19,213.48,August,2015
20,22.72,August,2015
3484,1202.94,August,2015
3482,579.95,August,2015
3483,29.12,August,2015
1899,174.0585,August,2015
1897,29.808,August,2015
1898,505.176,August,2015
1651,13.36,August,2015
1650,109.92,August,2015
8460,25.3,August,2015
8461,95.94,August,2015
3477,92.52,August,2015
592,9.344,September,2015
593,31.2,September,2015
824,67.8,September,2015
825,167.97,September,2015
3538,9.45,September,2015
3537,83.25,September,2015
3539,20.65,September,2015
3540,45.36,September,2015
7,907.152,September,2015
9,114.9,September,2015
861,23.1,September,2015
490,70.368,September,2015
489,63.984,September,2015
488,7.992,September,2015
860,7.36,September,2015
4955,79.14,September,2015
11,911.424,September,2015
5,48.86,September,2015
8,18.504,September,2015
10,1706.184,September,2015
4954,18.06,September,2015
4956,37.4,September,2015
6,7.28,September,2015
1811,1441.3,September,2015
8172,2.88,September,2015
9243,119.833,September,2015
3367,14.352,September,2015
9245,32.4,September,2015
8174,23.92,September,2015
8173,41.904,September,2015
3366,10.368,September,2015
9244,5.56,September,2015
9242,14.304,September,2015
3628,2060.744,September,2015
1740,20.88,September,2015
315,15.552,September,2015
7433,9.345,September,2015
7069,5.98,September,2015
314,178.384,September,2015
7432,4.464,September,2015
3391,1091.168,September,2015
3392,219.168,September,2015
897,103.6,September,2015
2673,1325.85,September,2015
8380,10.896,September,2015
2670,166.44,September,2015
3596,15.552,September,2015
8017,30.816,September,2015
2671,785.88,September,2015
3599,135.516,September,2015
3598,17.472,September,2015
8016,60.672,September,2015
7646,1299.99,September,2015
3597,64.704,September,2015
2672,26.2,September,2015
7152,88.768,September,2015
9458,144.6,September,2015
9459,15.992,September,2015
476,94.85,September,2015
471,340.92,September,2015
472,222.666,September,2015
8137,56.52,September,2015
475,62.65,September,2015
474,92.52,September,2015
473,703.968,September,2015
8122,30.672,September,2015
888,34.68,September,2015
7852,20.388,September,2015
8123,1079.976,September,2015
7442,10.688,September,2015
4564,100.704,September,2015
7443,237.096,September,2015
7851,8.448,September,2015
8652,7.3,September,2015
8655,118.0,September,2015
5277,340.116,September,2015
3698,79.4,September,2015
8651,14.19,September,2015
8650,5.7,September,2015
925,15.552,September,2015
8656,48.94,September,2015
8657,22.66,September,2015
230,18.648,September,2015
6909,2.502,September,2015
8654,144.96,September,2015
2478,5.46,September,2015
8653,199.98,September,2015
926,252.0,September,2015
174,52.448,September,2015
175,20.16,September,2015
562,13.128,September,2015
561,13.0,September,2015
492,11.07,September,2015
5125,68.46,September,2015
5130,44.82,September,2015
491,449.15,September,2015
8434,9.96,September,2015
8435,8.552,September,2015
5124,464.292,September,2015
5129,287.97,September,2015
